ACCESSION_NUMBER	RPTOWNERCIK	RPTOWNERNAME	RPTOWNER_RELATIONSHIP	RPTOWNER_TITLE	RPTOWNER_TXT	RPTOWNER_STREET1	RPTOWNER_STREET2	RPTOWNER_CITY	RPTOWNER_STATE	RPTOWNER_ZIPCODE	RPTOWNER_STATE_DESC	FILE_NUMBER
0001567619-20-008880	0001808301	Reich Robin S	Director			3175 HIGHWAY 278		COVINGTON	GA	30014		001-38074
0001214659-20-003999	0001649667	Budden Joan A	Director			2801 EAST BELTLINE NE		GRAND RAPIDS	MI	49525		000-22684
0001567619-20-008878	0001799660	Nelson Clark	Officer	EVP and CCO		3175 HIGHWAY 278		COVINGTON	GA	30014		001-38074
0001567619-20-008876	0001799661	Galazka Elizabeth	Officer	EVP-Lending		3175 HIGHWAY 278		COVINGTON	GA	30014		001-38074
0001567619-20-008874	0001807712	Vickers Robert	Officer	Chief Operations Officer		3175 HIGHWAY 278		COVINGTON	GA	30014		001-38074
0001209191-20-026711	0001244892	MATHER ANN	Director			C/O ALPHABET INC.	1600 AMPHITHEATRE PKWY	MOUNTAIN VIEW	CA	94043		001-37580
0001567619-20-008872	0001799951	Cooney Edward John	Director,Officer	CEO		3175 HIGHWAY 278		COVINGTON	GA	30014		001-38074
0000813298-20-000032	0001249436	KYEES JOHN E	Director			C/O VERA BRADLEY, INC.	2208 PRODUCTION ROAD	FORT WAYNE	IN	46808		001-34219
0001602658-20-000109	0001611398	Baker James M	Director			C/O INVESTAR HOLDING CORPORATION	10500 COURSEY BLVD.	BATON ROUGE	LA	70816		001-36522
0000015847-20-000009	0001224583	STEWART CLARK D	Director,Officer	President & CEO		15733 SHANNAN LANE		OLATHE	KS	66062		000-01678
0000014930-20-000076	0001182964	MCCLANATHAN JOSEPH W	Director			C/O BRUNSWICK CORPORATION	26125 N RIVERWOODS BLVD SUITE 500	METTAWA	IL	60045-3420		001-01043
0000014930-20-000075	0001192050	WHISLER J STEVEN	Director			C/O BRUNSWICK CORPORATION	26125 N. RIVERWOODS BLVD. SUITE 500	METTAWA	IL	60045		001-01043
0000014930-20-000074	0001193882	COOPER NANCY E	Director			C/O BRUNSWICK CORPORATION	26125 N. RIVERWOODS BLVD. SUITE 500	METTAWA	IL	60045		001-01043
0000014930-20-000073	0001132432	WOOD ROGER	Director			C/O BRUNSWICK CORPORATION	26125 N. RIVERWOODS BLVD. SUITE 500	METTAWA	IL	60045		001-01043
0000014930-20-000072	0001222746	SINGER DAVID V	Director			C/O BRUNSWICK CORPORATION	26125 N. RIVERWOODS BLVD. SUITE 500	METTAWA	IL	60045		001-01043
0000014930-20-000071	0001216312	FERNANDEZ MANUEL A	Director			C/O BRUNSWICK CORPORATION	26125 N. RIVERWOODS BLVD. SUITE 500	METTAWA	IL	60045		001-01043
0000014930-20-000070	0001361486	FLAHERTY LAUREN PATRICIA	Director			C/O BRUNSWICK CORPORATION	26125 N RIVERWOODS BLVD SUITE 500	METTAWA	IL	60045		001-01043
0000014930-20-000069	0001157335	WARNER JANE L	Director			C/O BRUNSWICK CORPORATION	26125 N. RIVERWOODS BLVD. SUITE 500	METTAWA	IL	60045		001-01043
0000015847-20-000008	0001325039	REEDY CHRISTOPHER J	Officer	Secretary & Vice President		7411 RICHARDS DRIVE		SHAWNEE	KS	66216		000-01678
0000014930-20-000068	0001196652	EVERITT DAVID C	Director			C/O BRUNSWICK CORPORATION	26125 N. RIVERWOODS BLVD. SUITE 500	METTAWA	IL	60045		001-01043
0001127602-20-015128	0001238195	YOHO FRANK H	Director			5430 LBJ FREEWAY	1800 III LINCOLN CENTRE	DALLAS	TX	75240		001-10042
0000015847-20-000007	0001702862	McMahon Tad Mitchell	Officer	Chief Financial Officer		19920 W 161ST STREET		OLATHE	KS	66062		000-01678
0001493152-20-007615	0001697848	Woodson Capital Management, LP	TenPercentOwner			101 PARK AVENUE	48TH FLOOR	NEW YORK	NY	10178		001-39058
0001567619-20-008869	0001808452	Strode Lynette M	Officer	Principal Accounting Officer		100 WEST UNIVERSITY AVENUE		CHAMPAIGN	IL	61820		000-15950
0001493152-20-007614	0001697848	Woodson Capital Management, LP	TenPercentOwner			101 PARK AVENUE	48TH FLOOR	NEW YORK	NY	10178		001-39058
0001567619-20-008868	0001668161	Randolph Amy L	Officer	Chief of Staff		100 WEST UNIVERSITY AVENUE		CHAMPAIGN	IL	61820		000-15950
0001567619-20-008867	0001540678	Powers John Joseph	Officer	EVP & General Counsel		100 WEST UNIVERSITY AVENUE		CHAMPAIGN	IL	61820		000-15950
0001567619-20-008866	0001231403	PLECKI ROBERT F JR	Officer	Chief Credit Officer		100 WEST UNIVERSITY AVENUE		CHAMPAIGN	IL	61820		000-15950
0001104659-20-056066	0001579887	Backenroth Samuel	Officer	CFO, Treasurer & Secretary		C/O 700 TECHNOLOGY DRIVE, THIRD FLOOR		PITTSBURGH	PA	15219		001-35963
